IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,InjurySeverityCde,KABCO_Code,KABCO,Environmental_Factors,Human_Factors,Vehicular_Factors
28101822,0050100,GLASGOW POLICE DEPARTMENT,Accepted,BARREN,LN9008,,,,,LN9008,LN9008 W EXIT14 OFF RAMP TO KY90 W,,,,,36.98418912,-85.89522293,0.262,5/5/2021,1550,2,2,0,0,CLOUDY,DRY,FALSE,ANGLE COLLISION - ONE VEHICLE TURNING RIGHT,ANGLE,CURVE & HILLCREST,DAYLIGHT,,,44323.30648,FALSE,2196,Accepted,5,5,O,,INATTENTION,
28109819,0050100,GLASGOW POLICE DEPARTMENT,Accepted,BARREN,US0031E,,L ROGERS WELLS,BLVD,N,,ROGERS,,,,,37.00380825,-85.92558827,14.338,5/5/2021,1545,2,2,0,0,CLEAR,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,44325.77766,FALSE,2285,Accepted,5,5,O,,FAILED TO YIELD RIGHT OF WAY,
28111355,0050100,GLASGOW POLICE DEPARTMENT,Accepted,BARREN,KY0090,,HAPPY VALLEY,RD,,,,,,,,37.01529463,-85.92788734,9.378,5/9/2021,1530,2,2,0,0,CLOUDY,WATER (STANDING OR MOVING),FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & GRADE,DAYLIGHT,,,44326.25993,FALSE,2285,Accepted,5,5,O,,FAILED TO KEEP PROPER LANE,MIRRORS
28111357,0050100,GLASGOW POLICE DEPARTMENT,Accepted,BARREN,KY0063,,MILL,ST,,,FRANKLIN,,,,,36.98987004,-85.91034609,14.169,5/9/2021,1810,2,2,0,0,CLEAR,WET,FALSE,ANGLE COLLISION - OTHER,ANGLE,CURVE & GRADE,DUSK,,,44326.25999,FALSE,2276,Accepted,5,5,O,,INATTENTION,
28111649,0050100,GLASGOW POLICE DEPARTMENT,Accepted,BARREN,,,LESLIE,AVE,,,,,WASHINGTON,US0068X,MAIN,36.99825612,-85.91907869,0.022,5/5/2021,1605,2,2,0,0,CLOUDY,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & HILLCREST,DAYLIGHT,,,44326.3377,FALSE,2273,Accepted,5,5,O,,INATTENTION,
28111654,0050100,GLASGOW POLICE DEPARTMENT,Accepted,BARREN,KY1297,,OLD BOWLING GREEN,RD,,,WESTWOOD,,,,,36.98893642,-85.9334864,12.729,5/9/2021,1245,2,2,0,0,CLOUDY,DRY,FALSE,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & HILLCREST,DAYLIGHT,,,44326.33788,FALSE,2286,Accepted,5,5,O,,,BRAKES DEFECTIVE
28111656,0050100,GLASGOW POLICE DEPARTMENT,Accepted,BARREN,,,IVY,ST,,,WILLOW,,,,,36.99372532,-85.92220835,0.032,5/8/2021,1036,2,2,0,0,CLEAR,DRY,FALSE,COLLISION WITH PARKED VEHICLE,SIDESWIPE-OPPOSITE DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,44326.33795,FALSE,2273,Accepted,5,5,O,,INATTENTION,
28112622,0050100,GLASGOW POLICE DEPARTMENT,Accepted,BARREN,US0031EX,,GREEN,ST,S,,,,HAWKINS,KY0249,BUNCHE,36.98993695,-85.91663346,0.975,5/4/2021,743,1,1,0,0,RAINING,WATER (STANDING OR MOVING),FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT,,,44326.45262,FALSE,2225,Accepted,5,5,O,"HOLES/DEEP RUTS/BUMPS, WATER POOLING",,
28113441,0050200,CAVE CITY POLICE DEPARTMENT,Accepted,BARREN,KY0090,,HAPPY VALLEY,ST,E,,,,,,,37.12653274,-85.96164723,0.95,4/21/2021,1904,2,2,0,0,CLEAR,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,CURVE & LEVEL,DUSK,,,44326.59274,FALSE,605,Accepted,5,5,O,,INATTENTION,
28113444,0050200,CAVE CITY POLICE DEPARTMENT,Accepted,BARREN,KY0090,,HAPPY VALLEY,ST,,,,,SANDERS,,GARDNER,37.13367513,-85.97072332,0.238,4/24/2021,1459,1,1,0,1,RAINING,WET,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44326.59287,FALSE,610,Accepted,4,4,C,,,OTHER
28113448,0050200,CAVE CITY POLICE DEPARTMENT,Accepted,BARREN,,603,BALE,AVE,,,,,,,,37.13596056,-85.94310513,0.127,4/27/2021,1546,2,2,0,0,CLEAR,DRY,FALSE,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),BACKING,STRAIGHT & LEVEL,DAYLIGHT,,,44326.59298,FALSE,610,Accepted,5,5,O,,INATTENTION,
28113458,0050200,CAVE CITY POLICE DEPARTMENT,Accepted,BARREN,US0031W,29082,LOUISVILLE,RD,,,,,,,,37.11591486,-85.98042477,5.546,5/3/2021,2022,1,1,0,0,CLEAR,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & GRADE,DARK-HWY NOT LIGHTED,,,44326.59339,FALSE,605,Accepted,5,5,O,,FELL ASLEEP,
28113467,0050200,CAVE CITY POLICE DEPARTMENT,Accepted,BARREN,US0031W,1224,DIXIE,HWY,N,,,,,,,37.15101878,-85.93584756,8.897,5/9/2021,2212,1,1,0,0,CLEAR,DRY,FALSE,COLLISION WITH ANIMAL NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,44326.59383,FALSE,605,Accepted,5,5,O,ANIMALS ACTION,,
